zip,dir,date,diff
V:/SPOT2/SV04_VG1_S10___RM__20000831215407_20000910231238_CVB_000000_V003.ZIP,1.20000901S10/,2000-09-01,11
V:/SPOT2/SV04_VG1_S10___RM__20000910220150_20000920232027_CVB_000000_V003.ZIP,1.20000911S10/,2000-09-11,10
V:/SPOT2/SV04_VG1_S10___RM__20000920220929_20000930232846_CVB_000000_V003.ZIP,1.20000921S10/,2000-09-21,10
V:/SPOT2/SV04_VG1_S10___RM__20000930220219_20001010233630_CVB_000000_V003.ZIP,1.20001001S10/,2000-10-01,10
V:/SPOT2/SV04_VG1_S10___RM__20001010221002_20001020234414_CVB_000000_V003.ZIP,1.20001011S10/,2000-10-11,10
V:/SPOT2/SV04_VG1_S10___RM__20001020221746_20001031233548_CVB_000000_V003.ZIP,1.20001021S10/,2000-10-21,10
V:/SPOT2/SV04_VG1_S10___RM__20001031221539_20001110234213_CVB_000000_V003.ZIP,1.20001101S10/,2000-11-01,11
V:/SPOT2/SV04_VG1_S10___RM__20001110222316_20001120235032_CVB_000000_V003.ZIP,1.20001111S10/,2000-11-11,10
V:/SPOT2/SV04_VG1_S10___RM__20001120220905_20001130235853_CVB_000000_V003.ZIP,1.20001121S10/,2000-11-21,10
V:/SPOT2/SV04_VG1_S10___RM__20001130221725_20001210225136_CVB_000000_V003.ZIP,1.20001201S10/,2000-12-01,10
V:/SPOT2/SV04_VG1_S10___RM__20001210222536_20001220225403_CVB_000000_V003.ZIP,1.20001211S10/,2000-12-11,10
V:/SPOT2/SV04_VG1_S10___RM__20001220211945_20001231224731_CVB_000000_V003.ZIP,1.20001221S10/,2000-12-21,10
V:/SPOT2/SV04_VG1_S10___RM__20001231222131_20010110225508_CVB_000000_V003.ZIP,1.20010101S10/,2001-01-01,11
V:/SPOT2/SV04_VG1_S10___RM__20010110222848_20010120225907_CVB_000000_V003.ZIP,1.20010111S10/,2001-01-11,10
V:/SPOT2/SV04_VG1_S10___RM__20010120212310_20010131225112_CVB_000000_V003.ZIP,1.20010121S10/,2001-01-21,10
V:/SPOT2/SV04_VG1_S10___RM__20010131222332_20010210225344_CVB_000000_V003.ZIP,1.20010201S10/,2001-02-01,11
V:/SPOT2/SV04_VG1_S10___RM__20010210211926_20010220223710_CVB_000000_V003.ZIP,1.20010211S10/,2001-02-11,10
V:/SPOT2/SV04_VG1_S10___RM__20010220212703_20010228232355_CVB_000000_V003.ZIP,1.20010221S10/,2001-02-21,10
V:/SPOT2/SV04_VG1_S10___RM__20010228221247_20010310233525_CVB_000000_V003.ZIP,1.20010301S10/,2001-03-01,8
V:/SPOT2/SV04_VG1_S10___RM__20010310220547_20010320234003_CVB_000000_V003.ZIP,1.20010311S10/,2001-03-11,10
V:/SPOT2/SV04_VG1_S10___RM__20010320221336_20010331233123_CVB_000000_V003.ZIP,1.20010321S10/,2001-03-21,10
V:/SPOT2/SV04_VG1_S10___RM__20010331220016_20010410233602_CVB_000000_V003.ZIP,1.20010401S10/,2001-04-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010410220744_20010420234356_CVB_000000_V003.ZIP,1.20010411S10/,2001-04-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010420221529_20010430235135_CVB_000000_V003.ZIP,1.20010421S10/,2001-04-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010430220947_20010510235919_CVB_000000_V003.ZIP,1.20010501S10/,2001-05-01,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010510221732_20010520225516_CVB_000000_V003.ZIP,1.20010511S10/,2001-05-11,10
V:/SPOT2/SV04_VG1_S10___RM__20010520222516_20010531235528_CVB_000000_V003.ZIP,1.20010521S10/,2001-05-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010531221340_20010610225130_CVB_000000_V003.ZIP,1.20010601S10/,2001-06-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010610222130_20010620225506_CVB_000000_V003.ZIP,1.20010611S10/,2001-06-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010620211929_20010630230131_CVB_000000_V003.ZIP,1.20010621S10/,2001-06-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010630212703_20010710224444_CVB_000000_V003.ZIP,1.20010701S10/,2001-07-01,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010710213436_20010720225234_CVB_000000_V003.ZIP,1.20010711S10/,2001-07-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010720214207_20010731224052_CVB_000000_V003.ZIP,1.20010721S10/,2001-07-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010731213054_20010810224839_CVB_000000_V003.ZIP,1.20010801S10/,2001-08-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010810213811_20010820225623_CVB_000000_V003.ZIP,1.20010811S10/,2001-08-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010820214545_20010831224438_CVB_000000_V003.ZIP,1.20010821S10/,2001-08-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010831213430_20010910225231_CVB_000000_V003.ZIP,1.20010901S10/,2001-09-01,11
V:/SPOT2/SV04_VG1_S10___RM__20010910214203_20010920230308_CVB_000000_V003.ZIP,1.20010911S10/,2001-09-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010920214940_20010930230757_CVB_000000_V003.ZIP,1.20010921S10/,2001-09-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20010930215709_20011010231546_CVB_000000_V003.ZIP,1.20011001S10/,2001-10-01,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20011010220448_20011020232414_CVB_000000_V003.ZIP,1.20011011S10/,2001-10-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20011020215537_20011031231257_CVB_000000_V003.ZIP,1.20011021S10/,2001-10-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20011031220049_20011110232136_CVB_000000_V003.ZIP,1.20011101S10/,2001-11-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20011110220828_20011120233008_CVB_000000_V003.ZIP,1.20011111S10/,2001-11-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20011120221601_20011130233831_CVB_000000_V003.ZIP,1.20011121S10/,2001-11-21,10
V:/SPOT2/SV04_VG1_S10___RM__20011130220933_20011210234647_CVB_000000_V003.ZIP,1.20011201S10/,2001-12-01,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20011210221719_20011220235433_CVB_000000_V003.ZIP,1.20011211S10/,2001-12-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20011220222455_20011231234230_CVB_000000_V003.ZIP,1.20011221S10/,2001-12-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20011231221302_20020110235000_CVB_000000_V003.ZIP,1.20020101S10/,2002-01-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020110222052_20020120235712_CVB_000000_V003.ZIP,1.20020111S10/,2002-01-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020120221544_20020131234420_CVB_000000_V003.ZIP,1.20020121S10/,2002-01-21,10
V:/SPOT2/SV04_VG1_S10___RM__20020131221632_20020210235108_CVB_000000_V003.ZIP,1.20020201S10/,2002-02-01,11
V:/SPOT2/SV04_VG1_S10___RM__20020210220940_20020220235750_CVB_000000_V003.ZIP,1.20020211S10/,2002-02-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020220221612_20020228230243_CVB_000000_V003.ZIP,1.20020221S10/,2002-02-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020228213715_20020310231022_CVB_000000_V003.ZIP,1.20020301S10/,2002-03-01,8
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020310214455_20020320231816_CVB_000000_V003.ZIP,1.20020311S10/,2002-03-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020320215248_20020331230632_CVB_000000_V003.ZIP,1.20020321S10/,2002-03-21,10
V:/SPOT2/SV04_VG1_S10___RM__20020331214325_20020410231434_CVB_000000_V003.ZIP,1.20020401S10/,2002-04-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020410215127_20020420232258_CVB_000000_V003.ZIP,1.20020411S10/,2002-04-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020420215610_20020430233043_CVB_000000_V003.ZIP,1.20020421S10/,2002-04-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020430220446_20020510234128_CVB_000000_V003.ZIP,1.20020501S10/,2002-05-01,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020510221230_20020520234618_CVB_000000_V003.ZIP,1.20020511S10/,2002-05-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020520220430_20020531233823_CVB_000000_V003.ZIP,1.20020521S10/,2002-05-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020531220854_20020610234244_CVB_000000_V003.ZIP,1.20020601S10/,2002-06-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020610221646_20020620235022_CVB_000000_V003.ZIP,1.20020611S10/,2002-06-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020620220835_20020630235808_CVB_000000_V003.ZIP,1.20020621S10/,2002-06-21,10
